hotel,date,y_p,y_pred_p
RKT07,2023-08-09,93.09364390546318,
RKT07,2023-08-10,93.41168745654718,
RKT07,2023-08-11,101.53587236372412,
RKT07,2023-08-12,118.70034860228739,
RKT07,2023-08-13,127.9466863848226,
RKT07,2023-08-14,139.3732951916152,
RKT07,2023-08-15,134.18700567658615,
RKT07,2023-08-16,152.54602859580123,
RKT07,2023-08-17,141.49533222439,
RKT07,2023-08-18,90.28109410178172,
RKT07,2023-08-19,96.40082289219147,
RKT07,2023-08-20,110.4611096127934,
RKT07,2023-08-21,114.69656785658461,
RKT07,2023-08-22,96.02673013085122,
RKT07,2023-08-23,84.49026357509953,
RKT07,2023-08-24,77.44070155170401,
RKT07,2023-08-25,64.33291844997102,
RKT07,2023-08-26,58.16516579059422,
RKT07,2023-08-27,146.21362851650264,
RKT07,2023-08-28,154.34878210587425,
RKT07,2023-08-29,130.78541535063712,
RKT07,2023-08-30,110.69365915866048,
RKT07,2023-08-31,102.9712344963869,
RKT07,2023-09-01,52.224800169273884,
RKT07,2023-09-02,57.48169104401309,
RKT07,2023-09-03,87.97727891689048,
RKT07,2023-09-04,106.94670524730189,
RKT07,2023-09-05,110.49984104607981,
RKT07,2023-09-06,84.19400314749943,
RKT07,2023-09-07,98.06188314416349,
RKT07,2023-09-08,91.24807977205039,
RKT07,2023-09-09,70.98581357580325,
RKT07,2023-09-10,108.14409825785079,
RKT07,2023-09-11,104.71964909760915,
RKT07,2023-09-12,111.46746819603516,
RKT07,2023-09-13,107.90334471160504,
RKT07,2023-09-14,97.20479519966962,
RKT07,2023-09-15,87.70829304354956,
RKT07,2023-09-16,80.32565225227845,
RKT07,2023-09-17,72.80019865292178,
RKT07,2023-09-18,68.16650086621522,
RKT07,2023-09-19,58.80193210673755,
RKT07,2023-09-20,53.55019570243021,
RKT07,2023-09-21,51.14876927293317,
RKT07,2023-09-22,48.46231719414509,
RKT07,2023-09-23,48.8688801294891,
RKT07,2023-09-24,54.10019021109377,
RKT07,2023-09-25,51.59325929989198,
RKT07,2023-09-26,36.00513439777714,
RKT07,2023-09-27,52.847143035430186,
RKT07,2023-09-28,72.38382556434716,
RKT07,2023-09-29,106.30848796157522,
RKT07,2023-09-30,116.39768800809384,
RKT07,2023-10-01,122.00435139212877,
RKT07,2023-10-02,90.8989992421242,
RKT07,2023-10-03,81.07336364025348,
RKT07,2023-10-04,63.023445402793534,
RKT07,2023-10-05,84.15606855968754,
RKT07,2023-10-06,87.68553808074391,
RKT07,2023-10-07,103.31534600096813,
RKT07,2023-10-08,94.65773370250801,
RKT07,2023-10-09,91.3829299319881,
RKT07,2023-10-10,73.71141299490353,
RKT07,2023-10-11,84.87686527432665,
RKT07,2023-10-12,94.34574720732581,
RKT07,2023-10-13,81.21233863801815,
RKT07,2023-10-14,74.76361996513616,
RKT07,2023-10-15,91.62736614254591,
RKT07,2023-10-16,122.70385312711738,
RKT07,2023-10-17,127.93830071430018,
RKT07,2023-10-18,114.42348738156946,
RKT07,2023-10-19,125.59973776416454,
RKT07,2023-10-20,99.48838612161104,
RKT07,2023-10-21,99.4904544183114,
RKT07,2023-10-22,91.85766817402256,
RKT07,2023-10-23,119.03691008935245,
RKT07,2023-10-24,127.53277292301573,
RKT07,2023-10-25,110.55559443906546,
RKT07,2023-10-26,113.19362141149176,
RKT07,2023-10-27,105.62490234374289,
RKT07,2023-10-28,83.05900044460486,
RKT07,2023-10-29,109.36763608938317,
RKT07,2023-10-30,110.16069493723154,
RKT07,2023-10-31,100.82230856216141,
RKT07,2023-11-01,90.77942075361912,
RKT07,2023-11-02,115.00701935538581,
RKT07,2023-11-03,90.91012208066927,
RKT07,2023-11-04,76.26511066918754,
RKT07,2023-11-05,101.38316742209685,
RKT07,2023-11-06,86.98154949580885,
RKT07,2023-11-07,87.39698965938511,
RKT07,2023-11-08,92.75545205780085,
RKT07,2023-11-09,91.98126693758549,
RKT07,2023-11-10,86.86011741797479,
RKT07,2023-11-11,87.14463980975432,
RKT07,2023-11-12,115.64932233110623,
RKT07,2023-11-13,102.52180206527787,
RKT07,2023-11-14,88.47951435381567,
RKT07,2023-11-15,114.0266404643512,
RKT07,2023-11-16,115.67186310230015,
RKT07,2023-11-17,109.42929234913227,
RKT07,2023-11-18,100.36390879875863,
RKT07,2023-11-19,97.90968130523636,
RKT07,2023-11-20,98.47337674439501,
RKT07,2023-11-21,107.77317594226787,
RKT07,2023-11-22,107.78644371335344,
RKT07,2023-11-23,105.66327367759828,
RKT07,2023-11-24,78.42364171104776,
RKT07,2023-11-25,85.7917451637615,
RKT07,2023-11-26,95.56434110695642,
RKT07,2023-11-27,89.54328834610894,
RKT07,2023-11-28,92.94469936049312,
RKT07,2023-11-29,96.04001938016127,
RKT07,2023-11-30,101.00532286617221,
RKT07,2023-12-01,94.86629863339999,
RKT07,2023-12-02,96.6050087920194,
RKT07,2023-12-03,93.1431464086661,
RKT07,2023-12-04,95.41712754768577,
RKT07,2023-12-05,76.98254096385507,
RKT07,2023-12-06,79.44730027910745,
RKT07,2023-12-07,74.33009251931863,
RKT07,2023-12-08,89.61496374826753,
RKT07,2023-12-09,87.10307145726077,
RKT07,2023-12-10,111.44924487066014,
RKT07,2023-12-11,96.32712107856301,
RKT07,2023-12-12,90.06417271765906,
RKT07,2023-12-13,92.99161117022689,
RKT07,2023-12-14,103.63668579909677,
RKT07,2023-12-15,106.86640355822614,
RKT07,2023-12-16,88.2648170437787,
RKT07,2023-12-17,103.67884266016867,
RKT07,2023-12-18,107.75691990220025,
RKT07,2023-12-19,99.3566536446813,
RKT07,2023-12-20,76.17154055940412,
RKT07,2023-12-21,66.56660572612442,
RKT07,2023-12-22,57.551248648464,
RKT07,2023-12-23,73.99137638652932,
RKT07,2023-12-24,111.55029254015682,
RKT07,2023-12-25,83.8926016713402,
RKT07,2023-12-26,66.97571559570538,
RKT07,2023-12-27,54.778696005047465,
RKT07,2023-12-28,66.31602827246832,
RKT07,2023-12-29,92.30645701504194,
RKT07,2023-12-30,115.70088812491844,
RKT07,2023-12-31,123.28292928124944,
RKT07,2024-01-01,74.94893997159552,
RKT07,2024-01-02,47.16473227102846,
RKT07,2024-01-03,32.564073510280735,
RKT07,2024-01-04,39.60474185055263,
RKT07,2024-01-05,50.5442277819663,
RKT07,2024-01-06,55.07723976653621,
RKT07,2024-01-07,98.95299639221102,
RKT07,2024-01-08,156.55250489775662,
RKT07,2024-01-09,130.00617963692451,
RKT07,2024-01-10,117.71869083557682,
RKT07,2024-01-11,134.52333840762134,
RKT07,2024-01-12,164.13297842714329,
RKT07,2024-01-13,153.49589655945852,
RKT07,2024-01-14,188.35904772663366,
RKT07,2024-01-15,195.29286119428218,
RKT07,2024-01-16,182.08250204604408,
RKT07,2024-01-17,182.32888675883913,
RKT07,2024-01-18,195.45389557586867,
RKT07,2024-01-19,160.30645991202863,
RKT07,2024-01-20,154.87002524469088,
RKT07,2024-01-21,183.18504768063147,
RKT07,2024-01-22,218.5796904345253,
RKT07,2024-01-23,216.56566116744182,
RKT07,2024-01-24,187.00310675451294,
RKT07,2024-01-25,146.37542974173996,
RKT07,2024-01-26,110.67711758310635,
RKT07,2024-01-27,106.86250240916237,
RKT07,2024-01-28,135.94743304336004,
RKT07,2024-01-29,209.0729736145037,
RKT07,2024-01-30,207.81876341579442,
RKT07,2024-01-31,109.77228665843887,
RKT07,2024-02-01,101.35993152528094,
RKT07,2024-02-02,91.8746344830827,
RKT07,2024-02-03,80.5267218940985,
RKT07,2024-02-04,134.12998371664673,
RKT07,2024-02-05,142.9403721164318,
RKT07,2024-02-06,129.3468978690449,
RKT07,2024-02-07,102.448750015026,
RKT07,2024-02-08,121.48259554286146,
RKT07,2024-02-09,91.36304292091144,
RKT07,2024-02-10,102.09065423796072,
RKT07,2024-02-11,123.06493389747787,
RKT07,2024-02-12,169.78886414960272,
RKT07,2024-02-13,158.33035071177306,
RKT07,2024-02-14,167.52942690008584,
RKT07,2024-02-15,157.62732024004453,
RKT07,2024-02-16,146.0131685603398,
RKT07,2024-02-17,165.89799273079205,
RKT07,2024-02-18,191.91868109851666,
RKT07,2024-02-19,181.9229337279476,
RKT07,2024-02-20,164.5750702291122,
RKT07,2024-02-21,175.1393726000035,
RKT07,2024-02-22,170.50345890917492,
RKT07,2024-02-23,115.18646146911439,
RKT07,2024-02-24,116.45881785554984,
RKT07,2024-02-25,198.82711762235022,
RKT07,2024-02-26,218.8576974870716,
RKT07,2024-02-27,205.63201527801888,
RKT07,2024-02-28,214.67729436642287,
RKT07,2024-02-29,215.3126749117316,
RKT07,2024-03-01,148.11419525934812,
RKT07,2024-03-02,91.27341160617651,
RKT07,2024-03-03,79.67687008319471,
RKT07,2024-03-04,103.29681722385519,
RKT07,2024-03-05,103.89130439889806,
RKT07,2024-03-06,102.89364298968705,
RKT07,2024-03-07,108.55979086604228,
RKT07,2024-03-08,102.63031205630017,
RKT07,2024-03-09,70.60446439302056,
RKT07,2024-03-10,107.26569496722948,
RKT07,2024-03-11,129.2178237058554,
RKT07,2024-03-12,98.96218110823386,
RKT07,2024-03-13,109.43733525006547,
RKT07,2024-03-14,177.87281909753887,
RKT07,2024-03-15,172.32500094903497,
RKT07,2024-03-16,100.33631696123224,
RKT07,2024-03-17,96.75855890257054,
RKT07,2024-03-18,133.2459867298476,
RKT07,2024-03-19,151.60148180331487,
RKT07,2024-03-20,146.91600095314084,
RKT07,2024-03-21,128.3104609135952,
RKT07,2024-03-22,118.83074222948943,
RKT07,2024-03-23,126.69206620658446,
RKT07,2024-03-24,167.4430163763743,
RKT07,2024-03-25,206.22672625137494,
RKT07,2024-03-26,169.3125179340717,
RKT07,2024-03-27,209.53365288429188,
RKT07,2024-03-28,213.47619242600155,
RKT07,2024-03-29,139.87238508696407,
RKT07,2024-03-30,127.9470797744241,
RKT07,2024-03-31,159.4590647215957,
RKT07,2024-04-01,201.83361461400978,
RKT07,2024-04-02,181.0429196925029,
RKT07,2024-04-03,206.2384611889192,
RKT07,2024-04-04,196.52486190838607,
RKT07,2024-04-05,116.10521574816697,
RKT07,2024-04-06,147.8835255923767,
RKT07,2024-04-07,203.8930345101551,
RKT07,2024-04-08,192.46893286540998,
RKT07,2024-04-09,195.490806125309,
RKT07,2024-04-10,209.52896986236442,
RKT07,2024-04-11,217.9440428008295,
RKT07,2024-04-12,169.95320364662211,
RKT07,2024-04-13,138.3801167099818,
RKT07,2024-04-14,165.41643266888678,
RKT07,2024-04-15,149.829099742534,
RKT07,2024-04-16,152.07176863627123,
RKT07,2024-04-17,172.7975359068075,
RKT07,2024-04-18,177.4896774409149,
RKT07,2024-04-19,129.26072839230181,
RKT07,2024-04-20,108.42189082980026,
RKT07,2024-04-21,128.53332847795568,
RKT07,2024-04-22,117.5928453016457,
RKT07,2024-04-23,132.54686899350946,
RKT07,2024-04-24,170.2728090535362,
RKT07,2024-04-25,190.3675113820876,
RKT07,2024-04-26,153.3587197295779,
